ts_utc	run_id	tokenizer_version	tokenizer_sha256	split	domain	n_docs	n_chars	n_bytes	n_eojeol	n_tokens	tok_per_char	tok_per_byte	bytes_per_tok	tok_per_eojeol	fertility_mean	p50_len	p90_len	p95_len	p99_len	max_len	git_commit	config_sha256
2026-08-29T15:04:42Z	tok_bench_verify4shard	hcx_seed	252056216a5334f2244596bb1350e0468e1aebce9b479b2cc600134b3ba15e3c	dev	community	6	7080	16583	1604	3730	0.5268361582	0.2249291443	4.445844504	2.325436409	1.075237821	611	1108	1274	1406	1440	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:42Z	tok_bench_verify4shard	hcx_seed	252056216a5334f2244596bb1350e0468e1aebce9b479b2cc600134b3ba15e3c	dev	encyclopedia	14	15314	35606	3351	8433	0.5506725872	0.2368421053	4.222222222	2.51656222	1.100195695	486	1174	1286	1436	1474	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:42Z	tok_bench_verify4shard	hcx_seed	252056216a5334f2244596bb1350e0468e1aebce9b479b2cc600134b3ba15e3c	dev	ko_en_mixed	64	74487	127265	13648	29058	0.3901083411	0.2283267198	4.379688898	2.129103165	1.144736842	249	1062	1625	2181	2508	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:42Z	tok_bench_verify4shard	hcx_seed	252056216a5334f2244596bb1350e0468e1aebce9b479b2cc600134b3ba15e3c	dev	news	131	199283	472489	44138	103092	0.5173145727	0.2181892065	4.583178132	2.335674476	1.024700071	544	1440	2112	3399	7257	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:42Z	tok_bench_verify4shard	hcx_seed	252056216a5334f2244596bb1350e0468e1aebce9b479b2cc600134b3ba15e3c	dev	technical	7	10465	24045	2349	5167	0.4937410416	0.2148887503	4.653570737	2.19965943	1.005448531	592	1456	1742	1971	2029	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:42Z	tok_bench_verify4shard	hcx_seed	252056216a5334f2244596bb1350e0468e1aebce9b479b2cc600134b3ba15e3c	dev	web_general	676	973771	2270673	218354	503302	0.5168586865	0.2216532279	4.511551712	2.304981819	1.052332036	458	1604	2281	4023	8782	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:50Z	tok_bench_verify4shard	ax_4_0_light	d2f43f3794ad749abfc24cf8a3b48c2552920b1dd5c483367b1e787225e4adf6	dev	blog	44	78743	183183	17751	32196	0.4088744396	0.1757586676	5.689619829	1.813756971	0.818840764	483	1567	2084	2733	2927	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:51Z	tok_bench_verify4shard	ax_4_0_light	d2f43f3794ad749abfc24cf8a3b48c2552920b1dd5c483367b1e787225e4adf6	dev	community	6	7080	16583	1604	3011	0.4252824859	0.1815714889	5.5074726	1.877182045	0.8679734794	496	894	1021	1123	1149	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:51Z	tok_bench_verify4shard	ax_4_0_light	d2f43f3794ad749abfc24cf8a3b48c2552920b1dd5c483367b1e787225e4adf6	dev	encyclopedia	14	15314	35606	3351	7068	0.4615384615	0.1985058698	5.037634409	2.109221128	0.9221135029	388	1046	1125	1223	1248	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:51Z	tok_bench_verify4shard	ax_4_0_light	d2f43f3794ad749abfc24cf8a3b48c2552920b1dd5c483367b1e787225e4adf6	dev	ko_en_mixed	64	74487	127265	13648	26519	0.3560218562	0.2083762228	4.799012029	1.943068581	1.044713205	216	981	1474	2015	2281	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:51Z	tok_bench_verify4shard	ax_4_0_light	d2f43f3794ad749abfc24cf8a3b48c2552920b1dd5c483367b1e787225e4adf6	dev	news	131	199283	472489	44138	84004	0.4215311893	0.1777903824	5.624601209	1.903212651	0.8349717216	454	1168	1733	2666	5991	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:51Z	tok_bench_verify4shard	ax_4_0_light	d2f43f3794ad749abfc24cf8a3b48c2552920b1dd5c483367b1e787225e4adf6	dev	technical	7	10465	24045	2349	4141	0.3956999522	0.1722187565	5.806568462	1.76287782	0.8057987935	433	1212	1402	1554	1593	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
2026-08-29T15:04:51Z	tok_bench_verify4shard	ax_4_0_light	d2f43f3794ad749abfc24cf8a3b48c2552920b1dd5c483367b1e787225e4adf6	dev	web_general	676	973771	2270673	218354	405790	0.4167201529	0.1787091316	5.59568496	1.858404243	0.8484484803	379	1274	1936	3419	7253	e96c379aa217ef12dcacf7d9f45545c200962e86	0fd229c1d58d25ba14f584104ed8d05596d3e30fe12eb13d086bb346eb6e1d5f
